List of opcodes
Jump to navigationJump to search
This is a list of all opcodes, including nops and unsupported ones, in GTA III, Vice City, and San Andreas. Brief descriptions and notes are added to the list for quick and easy access to information.

Opcode	Games	P	Parameter type	Brief description	Notes
0035	GTA III Vice City San Andreas	2	local var flt, local var flt	check local float greater than or equal to local float (L >= L flt)	
0036	GTA III Vice City San Andreas	2	global var flt, local var flt	check global float greater than or equal to local float (G >= L flt)	
0037	GTA III Vice City San Andreas	2	local var flt, global var flt	check local float greater than or equal to global float (L >= G flt)	
0038	GTA III Vice City San Andreas	2	global var, int	check global equal to integer (G == I)	
0039	GTA III Vice City San Andreas	2	local var, int	check local equal to integer (L == I)	
003A	GTA III Vice City San Andreas	2	global var int, global var int	check global integer equal to global integer (G == G int)	
003B	GTA III Vice City San Andreas	2	local var int, local var int	check local integer equal to local integer (L == L int)	
003C	GTA III Vice City San Andreas	2	global var int, local var int	check global integer equal to local integer (G == L int)	
003D	unsupported	-			
003E	unsupported	-			
003F	unsupported	-			
0040	unsupported	-			
0041	unsupported	-			
0042	GTA III Vice City San Andreas	2	global var, flt	check global equal to float (G == F)	
0043	GTA III Vice City San Andreas	2	local var, flt	check local equal to float (L == F)	
0044	GTA III Vice City San Andreas	2	global var flt, global var flt	check global float equal to global float (G == G flt)	
0045	GTA III Vice City San Andreas	2	local var flt, local var flt	check local float equal to local float (L == L flt)	
0046	GTA III Vice City San Andreas	2	global var flt, local var flt	check global float equal to local float (G == L flt)	
0047	unsupported	-			
0048	unsupported	-			
0049	unsupported	-			
004A	unsupported	-			
004B	unsupported	-			
004C	GTA III	1	int	jump to label if true	
004D	GTA III Vice City San Andreas	1	int	jump to label if false	
004E	GTA III Vice City San Andreas	0		terminate this script	
004F	GTA III Vice City San Andreas	-1	int	start new script with args	
0050	GTA III Vice City San Andreas	1	int	gosub	
0051	GTA III Vice City San Andreas	0		return	
0052	GTA III Vice City San Andreas	6		nop	
0053	GTA III Vice City San Andreas	5	int, flt, flt, flt, var	create player	parameters rearranged in SB
0054	GTA III Vice City	4	player handle, var, var, var	get player coordinates	
0055	GTA III Vice City	4	player handle, int, int, int	set player coordinates	
0056	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player in area 2d	parameters rearranged in SB
0057	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player in area 3d	parameters rearranged in SB
0058	GTA III Vice City San Andreas	2	global var int, global var int	add global integer to global integer (G += G int)	
0059	GTA III Vice City San Andreas	2	global var flt, global var flt	add global float to global float (G += G flt)	
005A	GTA III Vice City San Andreas	2	int, int	add local integer to local integer (L += L int)	
005B	GTA III Vice City San Andreas	2	float, float	add local float to local float (L += L flt)	
005C	GTA III Vice City San Andreas	2	int, int	add global integer to local integer (L += G int)	
005D	GTA III Vice City San Andreas	2	float, float	add global float to local float (L += G flt)	
005E	GTA III Vice City San Andreas	2	int, int	add local integer to global integer (G += L int)	
005F	GTA III Vice City San Andreas	2	float, float	add local float to global float (G += L flt)	
0060	GTA III Vice City San Andreas	2	int, int	subtract global integer from global integer (G -= G int)	
0061	GTA III Vice City San Andreas	2	float, float	subtract global float from global float (G -= G flt)	
0062	GTA III Vice City San Andreas	2	int, int	subtract local integer from local integer (L -= L int)	
0063	GTA III Vice City San Andreas	2	float, float	subtract local float from local float (L -= L flt)	
0064	GTA III Vice City San Andreas	2	int, int	subtract global integer from local integer (L -= G int)	
0065	GTA III Vice City San Andreas	2	float, float	subtract global float from local float (L -= G flt)	
0066	GTA III Vice City San Andreas	2	int, int	subtract local integer from global integer (G -= L int)	
0067	GTA III Vice City San Andreas	2	float, float	subtract local float from global float (G -= L flt)	
0068	GTA III Vice City San Andreas	2	global, global	multiply global int by global int (G *= G int)	
0069	GTA III Vice City San Andreas	2	global, global	multiply global float by global float (G *= G flt)	
006A	GTA III Vice City San Andreas	2	local, local	multiply local int by local int (L *= L int)	
006B	GTA III Vice City San Andreas	2	local, local	multiply local float by local float (L *= L flt)	
006C	GTA III Vice City San Andreas	2	local, float	multiply local by float (L *= F)	
006D	GTA III Vice City San Andreas	2	global, float	multiply global by float (G *= F)	
006E	GTA III Vice City San Andreas	2	global, local	multiply global int by local int (G *= L int)	
006F	GTA III Vice City San Andreas	2	global, local	multiply global float by local float (G *= L flt)	
0070	GTA III Vice City San Andreas	2	global, global	divide global int by global int (G /= G int)	
0071	GTA III Vice City San Andreas	2	global, global	divide global float by global float (G /= G flt)	
0072	GTA III Vice City San Andreas	2	local, local	divide local int by local int (L /= L int)	
0073	GTA III Vice City San Andreas	2	local, local	divide local float by local float (L /= L flt)	
0074	GTA III Vice City San Andreas	2	local, global	divide local int by global int (L /= G int)	
0075	GTA III Vice City San Andreas	2	local, global	divide local float by global float (L /= G flt)	
0076	GTA III Vice City San Andreas	2	global, local	divide global int by local int (G /= L int)	
0077	GTA III Vice City San Andreas	2	global, local	divide global float by local float (G /= L flt)	
0078	GTA III Vice City San Andreas	2	global, float	add timed val to global float	
0079	GTA III Vice City San Andreas	2	local, float	add timed val to local float	
007A	GTA III Vice City San Andreas	2	global, global	add timed global to global float	
007B	GTA III Vice City San Andreas	2	local, local	add timed local to local float	
007C	GTA III Vice City San Andreas	2	local, global	add timed global to local float	
007D	GTA III Vice City San Andreas	2	global, local	add timed local to global float	
007E	GTA III Vice City San Andreas	2	global, float	sub timed val from global float	
007F	GTA III Vice City San Andreas	2	local, float	sub timed val from local float	
0080	GTA III Vice City San Andreas	2	global, global	sub timed global from global float	
0081	GTA III Vice City San Andreas	2	local, local	sub timed local from local float	
0082	GTA III Vice City San Andreas	2	local, global	sub timed global from local float	
0083	GTA III Vice City San Andreas	2	global, local	sub timed local from global float	
0084	GTA III Vice City San Andreas	2	global var int, global var int	set global integer equal to global integer (G = G int)	
0085	GTA III Vice City San Andreas	2	local var int, local var int	set local integer equal to local integer (L = L int)	
0086	GTA III Vice City San Andreas	2	global var flt, global var flt	set global float equal to global float (G = G flt)	
0087	GTA III Vice City San Andreas	2	local var flt, local var flt	set local float equal to local float (L = L flt)	
0088	GTA III Vice City San Andreas	2	global var flt, local var flt	set global float equal to local float (G = L flt)	
0089	GTA III Vice City San Andreas	2	local var flt, global var flt	set local float equal to global float (L = G flt)	
008A	GTA III Vice City San Andreas	2	global var int, local var int	set global integer equal to local integer (G = L int)	
008B	GTA III Vice City San Andreas	2	local var int, global var int	set local integer equal to global integer (L = G int)	
008C	GTA III Vice City San Andreas	2	global var int, global var flt	convert global float to global int	
008D	GTA III Vice City San Andreas	2	global var flt, global var int	convert global int to global float	
008E	GTA III Vice City San Andreas	2	local var int, global var flt	convert global float to local int	
008F	GTA III Vice City San Andreas	2	local var flt, global var int	convert global int to local float	
0090	GTA III Vice City San Andreas	2	global var int, local var flt	convert local float to global int	
0091	GTA III Vice City San Andreas	2	global var flt, local var int	convert local int to global float	
0092	GTA III Vice City San Andreas	2	local var int, local var flt	convert local float to local int	
0093	GTA III Vice City San Andreas	2	local var flt, local var int	convert local int to local float	
0094	GTA III Vice City San Andreas	1	global var int	absolute value of global int	
0095	GTA III Vice City San Andreas	1	local var int	absolute value of local int	
0096	GTA III Vice City San Andreas	1	global var flt	absolute value of global float	
0097	GTA III Vice City San Andreas	1	local var flt	absolute value of local float	
0098	GTA III Vice City San Andreas	1	flt	generate random float	
0099	GTA III Vice City San Andreas	1	int	generate random integer	
009A	GTA III Vice City San Andreas	6	int, int, flt, flt, flt, var	create char	parameters rearranged in SB
009B	GTA III Vice City San Andreas	1	char handle	delete char	
009C	GTA III Vice City	2	char handle, int	set char to wander path	
009D	unsupported	-			
009E	GTA III
Vice City	4
6	char handle, flt, flt, flt
char handle, flt, flt, flt, flt, int	set char path	
009F	GTA III Vice City	1	char handle	char set idle	
00A0	GTA III Vice City San Andreas	4	char handle, var, var, var	get char coordinates	
00A1	GTA III Vice City San Andreas	4	char handle, flt, flt, flt	set char coordinates	
00A2	GTA III	1	char handle	is char still alive	available for VC and SA through 8118, restored in VC
00A3	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char in area 2d	
00A4	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char in area 3d	
00A5	GTA III Vice City San Andreas	5	int, flt, flt, flt, var	create car	parameters rearranged in SB
00A6	GTA III Vice City San Andreas	1	car handle	delete car	
00A7	GTA III Vice City San Andreas	4	car handle, flt, flt, flt	car goto coordinates	
00A8	GTA III Vice City San Andreas	1	car handle	car wander randomly	
00A9	GTA III Vice City San Andreas	1	car handle	car set idle	
00AA	GTA III Vice City San Andreas	4	car handle, var, var, var	get car coordinates	
00AB	GTA III Vice City San Andreas	4	car handle, flt, flt, flt	set car coordinates	
00AC	GTA III	1	car handle	is car still alive	restored in VC
00AD	GTA III Vice City San Andreas	2	car handle, flt	set car cruise speed	
00AE	GTA III Vice City San Andreas	2	car handle, int	set car driving style	
00AF	GTA III Vice City San Andreas	2	car handle, int	set car mission	
00B0	GTA III Vice City San Andreas	6	car handle, flt, flt, flt, flt, int	is car in area 2d	
00B1	GTA III Vice City San Andreas	8	car handle, flt, flt, flt, flt, flt, flt, int	is car in area 3d	
00B2	unsupported	-			
00B3	unsupported	-			
00B4	unsupported	-			
00B5	unsupported	-			
00B6	unsupported	-			
00B7	unsupported	-			
00B8	unsupported	-			
00B9	unsupported	-			
00BA	GTA III Vice City San Andreas	3	string, int, int	print big	
00BB	GTA III Vice City San Andreas	3	string, int, int	print	
00BC	GTA III Vice City San Andreas	3	string, int, int	print now	
00BD	GTA III	3	string, int, int	print soon	
00BE	GTA III Vice City San Andreas	0		clear prints	
00BF	GTA III Vice City San Andreas	2	var, var	get time of day	
00C0	GTA III Vice City San Andreas	2	int, int	set time of day	
00C1	GTA III Vice City San Andreas	3	int, int, var	get minutes to time of day	parameters rearranged in SB
00C2	GTA III Vice City San Andreas	4	flt, flt, flt, flt	is point on screen	
00C3	GTA III Vice City San Andreas	0		enter debug mode (nop)	
00C4	GTA III Vice City San Andreas	0		exit debug mode (nop)	
00C5	GTA III	0		true	restored in VC
00C6	GTA III	0		false	restored in VC
00C7	unsupported	-			
00C8	unsupported	-			
00C9	unsupported	-			
00CA	unsupported	-			
00CB	unsupported	-			
00CC	unsupported	-			
00CD	unsupported	-			
00CE	unsupported	-			
00CF	unsupported	-			
00D0	unsupported	-			
00D1	unsupported	-			
00D2	unsupported	-			
00D3	unsupported	-			
00D4	unsupported	-			
00D5	unsupported	-			
00D6	GTA III Vice City San Andreas	1	int	if	
00D7	GTA III Vice City San Andreas	1	int	start new script	like 004F but only one parameter
00D8	GTA III Vice City San Andreas	0		mission has finished	
00D9	GTA III Vice City San Andreas	2	char handle, var	store car char is in	mission only, parameters rearranged in SB
00DA	GTA III Vice City	2	player handle, var	store car player is in	mission only, parameters rearranged in SB
00DB	GTA III Vice City San Andreas	2	char handle, car handle	is char in car	
00DC	GTA III Vice City	2	player handle, car handle	is player in car	
00DD	GTA III Vice City San Andreas	2	char handle, int	is char in model	
00DE	GTA III Vice City	2	player handle, int	is player in model	
00DF	GTA III Vice City San Andreas	1	char handle	is char in any car	
00E0	GTA III Vice City	1	player handle	is player in any car	
00E1	GTA III Vice City San Andreas	2	int, int	is button pressed	
00E2	GTA III San Andreas	3	int, int, var	get button pressed	restored in VC
00E3	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player by any means 2d	parameters rearranged in SB
00E4	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player on foot 2d	parameters rearranged in SB
00E5	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player in car 2d	parameters rearranged in SB
00E6	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player stopped by any means 2d	parameters rearranged in SB
00E7	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player stopped on foot 2d	parameters rearranged in SB
00E8	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	locate player stopped in car 2d	parameters rearranged in SB
00E9	GTA III Vice City	5	player handle, char handle, flt, flt, int	locate player by any means near char 2d	parameters rearranged in SB
00EA	GTA III Vice City	5	player handle, char handle, flt, flt, int	locate player on foot near char 2d	parameters rearranged in SB
00EB	GTA III Vice City	5	player handle, char handle, flt, flt, int	locate player in car near char 2d	parameters rearranged in SB
00EC	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate char by any means 2d	parameters rearranged in SB
00ED	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate char on foot 2d	parameters rearranged in SB
00EE	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate char in car 2d	parameters rearranged in SB
00EF	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate stopped char by any means 2d	parameters rearranged in SB
00F0	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate stopped char on foot 2d	parameters rearranged in SB
00F1	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	locate stopped char in car 2d	parameters rearranged in SB
00F2	GTA III Vice City San Andreas	5	char handle, char handle, flt, flt, int	locate char by any means near char 2d	
00F3	GTA III Vice City San Andreas	5	char handle, char handle, flt, flt, int	locate char on foot near char 2d	
00F4	GTA III Vice City San Andreas	5	char handle, char handle, flt, flt, int	locate char in car near char 2d	
00F5	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player by any means 3d	parameters rearranged in SB
00F6	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player on foot 3d	parameters rearranged in SB
00F7	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player in car 3d	parameters rearranged in SB
00F8	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player stopped by any means 3d	parameters rearranged in SB
00F9	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player stopped on foot 3d	parameters rearranged in SB
00FA	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	locate player stopped in car 3d	parameters rearranged in SB
00FB	GTA III Vice City	6	player handle, char handle, flt, flt, flt, int	locate player by any means near char 3d	parameters rearranged in SB
00FC	GTA III Vice City	6	player handle, char handle, flt, flt, flt, int	locate player on foot near char 3d	parameters rearranged in SB
00FD	GTA III Vice City	6	player handle, char handle, flt, flt, flt, int	locate player in car near char 3d	parameters rearranged in SB
00FE	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char by any means 3d	parameters rearranged in SB
00FF	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char on foot 3d	parameters rearranged in SB
0100	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char in car 3d	
0101	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char stopped by any means 3d	
0102	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char stopped on foot 3d	
0103	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	locate char stopped in car 3d	
0104	GTA III Vice City San Andreas	6	char handle, char handle, flt, flt, flt, flt, int	locate char by any means near char 3d	
0105	GTA III Vice City San Andreas	6	char handle, char handle, flt, flt, flt, flt, int	locate char on foot near char 3d	
0106	GTA III Vice City San Andreas	6	char handle, char handle, flt, flt, flt, flt, int	locate char in car near char 3d	
0107	GTA III Vice City San Andreas	5	int, flt, flt, flt, var	create object	parameters rearranged in SB
0108	GTA III Vice City San Andreas	1	object handle	delete object	
0109	GTA III Vice City San Andreas	2	player handle, int	give player money	
010A	GTA III Vice City San Andreas	2	player handle, int	is money value greater	
010B	GTA III Vice City San Andreas	2	player handle, var	store money value	parameters rearranged in SB
010C	GTA III Vice City	5	player handle, flt, flt, flt, flt	give remote controlled RC Bandit to player	
010D	GTA III Vice City San Andreas	2	player handle, int	set player wanted level	
010E	GTA III Vice City San Andreas	2	player handle, int	alter wanted level no drop	
010F	GTA III Vice City San Andreas	2	player handle, int	is wanted level greater	
0110	GTA III Vice City San Andreas	1	player handle	clear wanted level	
0111	GTA III Vice City San Andreas	1	int	set deatharrest state	
0112	GTA III Vice City San Andreas	0		has deatharrest executed	special use in missions
0113	GTA III	3	player handle, int, int	add ammo to player weapon	restored in VC
0114	GTA III Vice City San Andreas	3	char handle, int, int	add ammo to char weapon	
0115	unsupported	-			
0116	unsupported	-			restored in III and VC
0117	GTA III Vice City San Andreas	1	player handle	is player dead	
0118	GTA III Vice City San Andreas	1	char handle	is char dead	
0119	GTA III Vice City San Andreas	1	car handle	is car dead	
011A	GTA III Vice City	2	char handle, int	set char search threat	
011B	unsupported	-			
011C	GTA III Vice City	1	char handle	set char obj no obj	
011D	unsupported	-			
011E	unsupported	-			
011F	unsupported	-			
0120	unsupported	-			
0121	GTA III Vice City	2	player handle, string	is player in zone	
0122	GTA III Vice City San Andreas	1	player handle	is player pressing horn	
0123	GTA III Vice City	2	char handle, player handle	has char spotted player	
0124	unsupported	-			used in memory editing for VC[1], used in GInput
0125	unsupported	-			used in memory editing for VC[1]
0126	GTA III Vice City	1	char handle	is char objective passed	
0127	unsupported	-			
0128	unsupported	-			
0129	GTA III Vice City San Andreas	4	car handle, int, int, var	create char inside car	parameters rearranged in SB
012A	GTA III Vice City	4	player handle, flt, flt, flt	warp player from car to coord	
012B	unsupported	-			
012C	unsupported	-			
012D	unsupported	-			
012E	unsupported	-			
012F	unsupported	-			
0130	GTA III	1	player handle	has player been arrested	restored in VC
0131	unsupported	-			
0132	unsupported	-			
0133	unsupported	-			
0134	unsupported	-			
0135	GTA III	2	car handle, var	change car lock	parameters rearranged in SB, available for VC and SA through 020A, restored in VC
0136	GTA III	4	int, float, float, float	shake camera with point	restored in VC
0137	GTA III Vice City San Andreas	2	car handle, int	is car model	
0138	unsupported	-			
0139	unsupported	-			
013A	unsupported	-			
013B	GTA III	6	car handle, flt, flt, flt, flt, int	is car dead in 2d area	restored in VC
013C	GTA III	8	car handle, flt, flt, flt, flt, flt, flt, int	is car dead in 3d area	restored in VC
013D	unsupported	-			
013E	unsupported	-			
013F	unsupported	-			
0140	unsupported	-			
0141	unsupported	-			
0142	unsupported	-			
0143	unsupported	-			
0144	unsupported	-			
0145	unsupported	-			
0146	unsupported	-			
0147	unsupported	-			
0148	unsupported	-			
0149	GTA III	1	car handle	is car crushed	
014A	unsupported	-			
014B	GTA III Vice City San Andreas	13	flt, flt, flt, flt, int, int, int, int, int, int, int, int, var	create car generator	parameters rearranged in SB
014C	GTA III Vice City San Andreas	2	car generator handle, int	switch car generator	
014D	GTA III	4	string, int, int, int	add pager message	used in Liberty City mod for VC
014E	GTA III
Vice City San Andreas	1
2	global var
global var, int	display onscreen timer	
014F	GTA III Vice City San Andreas	1	global var	clear onscreen timer	
0150	GTA III Vice City	2	global var, int	display onscreen counter	
0151	GTA III Vice City San Andreas	1	global var	clear onscreen counter	
0152	GTA III
Vice City	11
13	string, int, int, int, int, int, int, int, int, int, int
string, int, int, int, int, int, int, int, int, int, int, int, int	setup zone car info	
0153	unsupported	-			
0154	GTA III Vice City San Andreas	2	char handle, string	is char in zone	
0155	GTA III	3	string, int, int	set car density	restored in VC
0156	GTA III	3	string, int, int	set ped density	restored in VC
0157	GTA III Vice City	3	player handle, int, int	point camera at player	
0158	GTA III Vice City San Andreas	3	car handle, int, int	point camera at car	
0159	GTA III Vice City San Andreas	3	char handle, int, int	point camera at char	
015A	GTA III Vice City San Andreas	0		restore camera	
015B	GTA III San Andreas	3	int, int, int	shake pad	
015C	GTA III
Vice City	11
13	string, int, int, int, int, int, int, int, int, int, int
string, int, int, int, int, int, int, int, int, int, int, int, int	setup zone ped info	
015D	GTA III Vice City San Andreas	1	flt	set timescale	
015E	GTA III	1	car handle	is car in air	restored in VC
015F	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	set fixed camera position	
0160	GTA III Vice City San Andreas	4	flt, flt, flt, int	point camera at point	
0161	GTA III Vice City San Andreas	4	car handle, int, int, var	add blip with properties to car	parameters rearranged in SB
0162	GTA III Vice City	4	char handle, int, int, var	add blip with properties to char	parameters rearranged in SB
0163	GTA III	4	object handle, int, int, var	add blip with properties to object	restored in VC
0164	GTA III Vice City San Andreas	1	blip handle	remove blip	
0165	GTA III Vice City San Andreas	2	blip handle, int	change blip colour	
0166	GTA III Vice City	2	blip handle, int	change blip brightness	
0167	GTA III Vice City San Andreas	6	flt, flt, flt, int, int, var	add blip for coordinate with properties	parameters rearranged in SB
0168	GTA III Vice City San Andreas	2	blip handle, int	change blip scale	
0169	GTA III Vice City San Andreas	3	int, int, int	set fading colour	
016A	GTA III Vice City San Andreas	2	int, int	do fade	parameters rearranged in SB
016B	GTA III Vice City San Andreas	0		get fading status	
016C	GTA III Vice City
San Andreas	4
5	flt, flt, flt, flt
flt, flt, flt, flt, int	add hospital restart	
016D	GTA III Vice City
San Andreas	4
5	flt, flt, flt, flt
flt, flt, flt, flt, int	add police restart	
016E	GTA III Vice City San Andreas	4	flt, flt, flt, flt	override next restart	
016F	GTA III San Andreas	10	int, flt, flt, flt, flt, flt, int, int, int, int	draw shadow	parameters rearranged in SB, restored in VC
0170	GTA III Vice City	2	player handle, var	get player heading	parameters rearranged in SB
0171	GTA III Vice City	2	player handle, flt	set player heading	
0172	GTA III Vice City San Andreas	2	char handle, var	get char heading	parameters rearranged in SB
0173	GTA III Vice City San Andreas	2	char handle, flt	set char heading	
0174	GTA III Vice City San Andreas	2	car handle, var	get car heading	parameters rearranged in SB
0175	GTA III Vice City San Andreas	2	car handle, flt	set car heading	
0176	GTA III Vice City San Andreas	2	object handle, var	get object heading	parameters rearranged in SB
0177	GTA III Vice City San Andreas	2	object handle, flt	set object heading	
0178	GTA III	2	player handle, object handle	is player touching object	restored in VC
0179	GTA III San Andreas	2	char handle, object handle	is char touching object	restored in VC
017A	GTA III Vice City	3	player handle, int, int	set player weapon ammo	
017B	GTA III San Andreas	3	char handle, int, int	set char weapon ammo	restored in VC
017C	unsupported	-			
017D	unsupported	-			
017E	unsupported	-			
017F	unsupported	-			
0180	GTA III Vice City San Andreas	1	var	declare mission flag	
0181	GTA III
Vice City	2
0	int, int
nop	declare mission flag for contact	
0182	GTA III	2	int, int	declare base brief id for contact	
0183	GTA III Vice City	2	player handle, int	is player health greater	
0184	GTA III Vice City San Andreas	2	char handle, int	is char health greater	
0185	GTA III Vice City San Andreas	2	car handle, int	is car health greater	
0186	GTA III Vice City San Andreas	2	car handle, var	add blip for car	parameters rearranged in SB
0187	GTA III Vice City San Andreas	2	char handle, var	add blip for char	parameters rearranged in SB
0188	GTA III Vice City San Andreas	2	object handle, var	add blip for object	parameters rearranged in SB
0189	GTA III Vice City	2	flt, flt, flt, var	add blip with sphere to coordinate	parameters rearranged in SB
018A	GTA III Vice City San Andreas	2	flt, flt, flt, var	add blip for coordinate	parameters rearranged in SB
018B	GTA III Vice City San Andreas	2	blip handle, int	change blip display	
018C	GTA III Vice City San Andreas	4	int, flt, flt, flt	add one off sound	
018D	GTA III Vice City	5	flt, flt, flt, int, var	add continuous sound	parameters rearranged in SB
018E	GTA III Vice City San Andreas	1	sound handle	remove sound	
018F	GTA III Vice City San Andreas	1	car handle	check car is flipped for 2 seconds	
0190	GTA III Vice City San Andreas	1	car handle	add car to flipped check	
